39603 2020-05-18 20:18:42 [4D.APPL] INFO - link_manager.scan()
39604 2020-05-18 20:18:42 [4D.APPL] INFO - link_manager.scan()
39605 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39606 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39607 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39608 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39609 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39610 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39611 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39612 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39613 2020-05-18 20:18:42 [4D.APPL] INFO - DELAY PROCESS()
39614 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39615 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39616 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39617 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39618 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39619 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39620 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39621 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39622 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39623 2020-05-18 20:18:43 [4D.APPL] INFO - DELAY PROCESS()
39624 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39625 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39626 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39627 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39628 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39629 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39630 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39631 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39632 2020-05-18 20:18:44 [4D.APPL] INFO - DELAY PROCESS()
39633 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39634 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39635 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39636 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39637 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39638 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39639 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39640 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39641 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39642 2020-05-18 20:18:45 [4D.APPL] INFO - DELAY PROCESS()
39643 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39644 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39645 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39646 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39647 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39648 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39649 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39650 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39651 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39652 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39653 2020-05-18 20:18:46 [4D.APPL] INFO - DELAY PROCESS()
39654 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39655 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39656 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39657 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39658 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39659 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39660 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39661 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39662 2020-05-18 20:18:47 [4D.APPL] INFO - DELAY PROCESS()
39663 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39664 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39665 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39666 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39667 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39668 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39669 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39670 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39671 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39672 2020-05-18 20:18:48 [4D.APPL] INFO - DELAY PROCESS()
39673 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39674 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39675 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39676 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39677 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39678 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39679 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39680 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39681 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39682 2020-05-18 20:18:49 [4D.APPL] INFO - DELAY PROCESS()
39683 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39684 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39685 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39686 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39687 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39688 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39689 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39690 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39691 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39692 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39693 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39694 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39695 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39696 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39697 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39698 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39699 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39700 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39701 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39702 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39703 2020-05-18 20:18:52 [4D.APPL] INFO - link_manager.scan()
39704 2020-05-18 20:18:52 [4D.APPL] INFO - link_manager.scan()
39705 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39706 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39707 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39708 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39709 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39710 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39711 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39712 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39713 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39714 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39715 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39716 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39717 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
